Name,Department,Quality Rating,Number of Ratings,Would Take Again,Difficulty
Sally Holbrook,Biology,2.8,8 ratings,34%,4
Raul Suarez,Biology,2.7,8 ratings,100%,3.9
Tau-Mu Yi,Biology,3.1,8 ratings,100%,3.1
Douglas Bush,Biology,1.9,4 ratings,N/A,4.5
Alyson Santoro,Biology,5.0,3 ratings,100%,2.3
Ruby Harris-Gavin,Biology,5.0,1 ratings,100%,3
Jacqui Comstock,Biology,5.0,1 ratings,100%,2
Stephanie Khairallah,Biology,0.0,0 ratings,N/A,0
Kelly Thomasson,Biology,2.3,80 ratings,29%,3.7
David Kohl,Biology,4.6,59 ratings,N/A,2.7
Mike Wilton,Biology,5.0,55 ratings,100%,3.4
Dzwokai Ma,Biology,3.6,41 ratings,69%,4.3
Chris Hayes,Biology,3.1,22 ratings,36%,3.6
Craig Carlson,Biology,4.1,21 ratings,77%,2.9
Stephen Poole,Biology,3.7,19 ratings,67%,3.5
Christopher Evelyn,Biology,3.0,13 ratings,54%,3
Pradeep Joshi,Biology,2.0,14 ratings,22%,4.1
Bretton Fletcher,Biology,1.4,10 ratings,10%,4.4
Carla D'Antonio,Biology,4.6,8 ratings,100%,2.4
Roger Nisbet,Biology,3.3,6 ratings,N/A,2.7
Bruce Mahall,Biology,2.4,6 ratings,N/A,4.3
Haley Smith,Biology,1.3,6 ratings,17%,4
Daniel Morse,Biology,4.0,4 ratings,N/A,3
Carol Vandenburg,Biology,4.6,4 ratings,N/A,1.8
Ryoko Oono,Biology,2.2,4 ratings,0%,4
James Childress,Biology,1.0,4 ratings,0%,4.3
Sung Soo Kim,Biology,3.8,4 ratings,50%,3
Joie Cannon,Biology,4.7,3 ratings,100%,1.7
Steve Rothstein,Biology,4.5,2 ratings,N/A,3
Carolina Gonzalez,Biology,1.0,2 ratings,0%,3.5
Craig Montell,Biology,5.0,2 ratings,100%,4.5
Susanna Seppala,Biology,2.0,2 ratings,0%,3.5
Nick Doerr,Biology,4.0,1 ratings,N/A,2
Leander Anderegg,Biology,5.0,1 ratings,100%,3
Adrian Stier,Biology,5.0,1 ratings,100%,2
Jon Luntzel,Biology,3.0,1 ratings,100%,1
Michelle Lee,Biology,4.0,1 ratings,100%,3
Jackie Shay,Biology,0.0,0 ratings,N/A,0
Bjorn Ostman,Biology,0.0,0 ratings,N/A,0
Tanja Stoyan,Biology,0.0,0 ratings,N/A,0
Manraj Sangha,Biology,0.0,0 ratings,N/A,0
David Siegel,Biology,0.0,0 ratings,N/A,0
Soojin Yi,Biology,0.0,0 ratings,N/A,0
Ian Tayler,Biology,4.8,4 ratings,100%,3
Jean-Marie Volland,Biology,5.0,1 ratings,100%,3
Ruth Finkelstein,Biology,2.0,104 ratings,9%,4.4
Stuart Feinstein,Biology,4.4,60 ratings,96%,3.1
Diego Acosta-Alvear,Biology,2.5,48 ratings,36%,4.3
Diane Eardley,Biology,2.6,37 ratings,N/A,3.1
Michael Goard,Biology,4.3,19 ratings,85%,3.7
Olga Azarenko,Biology,2.8,22 ratings,41%,3.7
Kenneth Kosik,Biology,3.6,10 ratings,N/A,3.6
Mark Page,Biology,4.2,9 ratings,34%,3.9
Carolina Arias,Biology,4.2,6 ratings,84%,3.2
Hillary Young,Biology,2.8,6 ratings,50%,3.5
Cherie Briggs,Biology,4.2,5 ratings,100%,2.6
Pauline Yu,Biology,3.1,4 ratings,N/A,3.8
Scott Cooper,Biology,4.9,4 ratings,N/A,3.3
Elijah Spina,Biology,3.3,4 ratings,100%,3.5
Debora Iglesias-Rodriguez,Biology,1.0,4 ratings,0%,3.3
Ken Gilliland,Biology,2.7,3 ratings,67%,3.3
Meghan Morrissey,Biology,5.0,3 ratings,100%,2.3
Rebecca Werlin,Biology,4.8,2 ratings,N/A,2
Halley Froehlich,Biology,5.0,2 ratings,100%,2
Tatum Katz,Biology,4.5,2 ratings,100%,3
Laurel Hiebert,Biology,4.5,2 ratings,100%,3.5
Cyrus Safinya,Biology,2.5,2 ratings,0%,2
Natalie Dornan,Biology,4.0,1 ratings,100%,3
Dorothy Pak,Biology,0.0,0 ratings,N/A,0
Jason Johns,Biology,0.0,0 ratings,N/A,0
Nicholas Schooler,Biology,0.0,0 ratings,N/A,0
Charles Samuels,Biology,0.0,0 ratings,N/A,0
Sally MacIntyre,Biology,0.0,0 ratings,N/A,0
Douglas McCauley,Biology,0.0,0 ratings,N/A,0
Indra Boving,Biology,0.0,0 ratings,N/A,0
Joseph Alzagatiti,Biology,0.0,0 ratings,N/A,0
Seng Low,Biology,2.5,219 ratings,23%,4.3
Thomas Even,Biology,4.5,179 ratings,81%,2.8
Armand Kuris,Biology,4.3,34 ratings,69%,3.7
Scott Hodges,Biology,3.7,33 ratings,69%,3.1
Thomas L. Turner,Biology,3.9,27 ratings,74%,3
Claudia Tyler,Biology,4.8,27 ratings,100%,1.9
William Smith,Biology,3.1,22 ratings,34%,3.9
Anthony De Tomaso,Biology,3.1,21 ratings,43%,4.6
Gretchen Hofmann,Biology,4.8,20 ratings,100%,2.3
Michael Shahandeh,Biology,3.2,12 ratings,50%,4
Shane Nourizadeh,Biology,5.0,11 ratings,100%,2.6
Thomas Weimbs,Biology,2.8,11 ratings,34%,3.9
Bob Warner,Biology,3.8,10 ratings,N/A,3.5
Peggy Cotter,Biology,2.6,9 ratings,N/A,4.3
Roshni George,Biology,2.2,9 ratings,N/A,4
Jennifer Marsh,Biology,4.3,10 ratings,80%,3.2
Jonathan Levine,Biology,3.8,4 ratings,N/A,2.3
Russell Schmitt,Biology,4.8,4 ratings,100%,3.3
Eric Valois,Biology,3.3,3 ratings,34%,3
Stephen Proulx,Biology,4.5,2 ratings,100%,3.5
Taivan Batjargal,Biology,2.0,2 ratings,0%,4
Lindsay Bailey-Steinitz,Biology,4.0,1 ratings,100%,3
James Harber,Biology,1.0,1 ratings,0%,5
Doug Thrower,Biology,0.0,0 ratings,N/A,0
Madeline Nolan,Biology,0.0,0 ratings,N/A,0
Jonathan Sandoval,Biology,0.0,0 ratings,N/A,0
Samantha Davis,Biology,0.0,0 ratings,N/A,0
Mark Brzezinski,Biology,0.0,0 ratings,N/A,0
John Melack,Biology,0.0,0 ratings,N/A,0
Kathy Foltz,Biology,5.0,46 ratings,100%,3.4
David Low,Biology,4.0,35 ratings,93%,2.9
John Lew,Biology,3.8,33 ratings,45%,3.5
Joel Rothman,Biology,4.3,24 ratings,82%,3.3
Todd Oakley,Biology,3.4,22 ratings,60%,3
Anna James,Biology,5.0,21 ratings,100%,2.6
George Ayoub,Biology,2.3,19 ratings,0%,3.5
Leslie Wilson,Biology,3.5,12 ratings,N/A,2.2
Eduardo Gonzalez,Biology,3.4,12 ratings,55%,3.6
Evangeline Ballerini,Biology,3.8,9 ratings,86%,2.7
Jamey Marth,Biology,2.6,7 ratings,N/A,3.1
Andrew Stewart,Biology,4.6,5 ratings,N/A,2.4
Petra Kranzfelder,Biology,3.8,4 ratings,100%,2
Erika Eliason,Biology,4.0,3 ratings,67%,3.3
Zhiqun LI,Biology,1.5,3 ratings,N/A,4.7
Nate Emery,Biology,3.0,3 ratings,N/A,4.3
Lizzy Wilbanks,Biology,5.0,3 ratings,100%,2.7
Robert Miller,Biology,5.0,2 ratings,N/A,3
Elizabeth Forbes,Biology,5.0,1 ratings,100%,3
William Murdoch,Biology,0.0,0 ratings,N/A,0
Mario Galicia,Black Studies,3.5,16 ratings,57%,2.2
Ingrid Banks,Black Studies,2.6,21 ratings,27%,4.7
Terrance Wooten,Black Studies,5.0,13 ratings,100%,3.4
Christopher McAuley,Black Studies,4.1,7 ratings,84%,2.3
Elaina Bossert,Black Studies,0.0,0 ratings,N/A,0
Eve Brown,Black Studies,0.0,0 ratings,N/A,0
Jaime Alves,Black Studies,2.8,15 ratings,47%,3.5
Terence Keel,Black Studies,4.1,14 ratings,77%,3.2
Mia White,Black Studies,3.4,12 ratings,N/A,3
Geoffrey Jacques,Black Studies,2.6,10 ratings,34%,3.6
Jeffrey Stewart,Black Studies,4.1,14 ratings,73%,2.7
Sharon Tettegah,Black Studies,1.6,5 ratings,20%,3
Omise'eke Tinsley,Black Studies,5.0,3 ratings,100%,3
AnneMarie Mingo,Black Studies,5.0,2 ratings,100%,4
Vilna Bashi Treitler,Black Studies,4.0,2 ratings,100%,1.5
Earl Stewart,Black Studies,3.6,20 ratings,100%,1.7
Hymon Johnson,Black Studies,4.8,2 ratings,N/A,1.5
Butch Ware,Black Studies,0.0,0 ratings,N/A,0
Karen Bogart,Business,4.0,1 ratings,100%,3
Mathew Stotts,Business,5.0,1 ratings,100%,3
Sheetal Gavankar,Business,0.0,0 ratings,N/A,0
Guy Gabriele,Business,5.0,5 ratings,100%,2.2
Renne Rottner,Business,5.0,1 ratings,100%,3
Matt Beane,Business,0.0,0 ratings,N/A,0
Eric Zackrison,Business,3.0,11 ratings,64%,3.2
Robin Campbell,Business,4.8,2 ratings,N/A,2.5
Michael-James Hey,Business,5.0,2 ratings,100%,3
Cindy Mayer,Business,0.0,0 ratings,N/A,0
Matthew Helgeson,Chemical Engineering,4.1,18 ratings,50%,3.6
Siddharth Dey,Chemical Engineering,2.8,6 ratings,50%,3.5
John Mefford,Chemical Engineering,4.0,1 ratings,100%,4
Joe Chada,Chemical Engineering,4.4,20 ratings,90%,3.1
Baron Peters,Chemical Engineering,2.8,18 ratings,42%,4.4
Todd Squires,Chemical Engineering,4.5,13 ratings,100%,2.9
Bradley Chmelka,Chemical Engineering,3.3,11 ratings,75%,3.3
Samir Mitragotri,Chemical Engineering,4.1,10 ratings,100%,2.7
Michael Doherty,Chemical Engineering,4.0,5 ratings,0%,4.2
Glenn Fredrickson,Chemical Engineering,4.5,9 ratings,100%,3.8
Eric McFarland,Chemical Engineering,2.7,7 ratings,40%,4.4
Joe Zasadzinski,Chemical Engineering,2.5,11 ratings,N/A,4.2
Michelle O'Malley,Chemical Engineering,4.5,4 ratings,100%,3.5
Jacob Israelachvili,Chemical Engineering,1.0,1 ratings,N/A,5
Sho Takatori,Chemical Engineering,5.0,1 ratings,100%,4
Michael Gordon,Chemical Engineering,4.6,25 ratings,100%,3.3
Scott Shell,Chemical Engineering,4.6,17 ratings,100%,3.2
Arnab Mukherjee,Chemical Engineering,3.0,6 ratings,67%,2.7
Joel Paustian,Chemical Engineering,4.5,1 ratings,N/A,2
Christopher Bates,Chemical Engineering,0.0,0 ratings,N/A,0
Crisjoe Joseph,Chemistry,4.1,326 ratings,81%,3.7
Darby Feldwinn,Chemistry,3.1,211 ratings,32%,4.2
Robert Lewis,Chemistry,4.5,101 ratings,90%,3.9
Steve Buratto,Chemistry,4.1,69 ratings,89%,3.2
Stan Anderson,Chemistry,3.5,39 ratings,N/A,3
Norbert Reich,Chemistry,2.4,26 ratings,25%,4.1
Frank Brown,Chemistry,2.8,23 ratings,67%,3.8
Kevin Plaxco,Chemistry,4.3,21 ratings,100%,3.5
Stanley Parsons,Chemistry,2.7,15 ratings,N/A,2.6
Luc Jaeger,Chemistry,2.8,10 ratings,50%,2.8
Vojtech Vlcek,Chemistry,2.3,7 ratings,43%,4
Elizabeth Ilardi,Chemistry,4.4,5 ratings,100%,3.4
Anika Odukale,Chemistry,1.4,5 ratings,0%,3.4
Paula Bruice,Chemistry,1.0,3 ratings,0%,4.7
Yang Yang,Chemistry,4.8,4 ratings,75%,1.8
Selena Staun,Chemistry,2.5,2 ratings,50%,3.5
Yuting Hu,Chemistry,4.0,1 ratings,100%,3
Neil Eschmann,Chemistry,3.5,1 ratings,N/A,5
Hannah Kallewaard,Chemistry,4.5,1 ratings,N/A,4
Michael Tro,Chemistry,5.0,1 ratings,N/A,1
Micheal Chin,Chemistry,0.0,0 ratings,N/A,0
Scott Price,Chemistry,4.6,364 ratings,93%,3.4
Thomas Pettus,Chemistry,2.3,65 ratings,32%,4.4
Nathan Svadlenak,Chemistry,2.2,53 ratings,27%,4.1
Song-I Han,Chemistry,2.4,29 ratings,45%,4
Liming Zhang,Chemistry,2.0,26 ratings,34%,4.2
Yang Hai,Chemistry,4.8,5 ratings,100%,3.6
Les Burnett,Chemistry,1.4,4 ratings,N/A,4.8
Chuck Huber,Chemistry,2.7,3 ratings,0%,1
Julianne Truong,Chemistry,4.5,2 ratings,100%,4
Po Ju Huang,Chemistry,3.3,2 ratings,N/A,3
Andrea Carlini,Chemistry,3.5,2 ratings,100%,2.5
Nivaldo Tro,Chemistry,5.0,1 ratings,100%,2
Mesopotamia Nowotarski,Chemistry,0.0,0 ratings,N/A,0
C. Landon Mills,Chemistry,0.0,0 ratings,N/A,0
Alex Kyranos,Chemistry,0.0,0 ratings,N/A,0
Bryanna Sylvester,Chemistry,3.6,336 ratings,59%,3.4
Petra Van Koppen,Chemistry,4.1,248 ratings,47%,3.3
Morgan Gainer,Chemistry,3.4,137 ratings,63%,4.1
Christopher Bernt,Chemistry,2.9,68 ratings,53%,3.7
Leroy Laverman,Chemistry,4.1,54 ratings,100%,3.2
Bruce Lipshutz,Chemistry,4.0,39 ratings,93%,4
Mattanjah De Vries,Chemistry,3.5,37 ratings,72%,2.2
Trevor Hayton,Chemistry,2.8,20 ratings,75%,4.1
Eric Engel,Chemistry,4.9,20 ratings,100%,1.3
Mahdi Abu-Omar,Chemistry,4.7,17 ratings,95%,2.6
Faady Siouri,Chemistry,4.8,9 ratings,N/A,2.7
Rob Levenson,Chemistry,3.7,5 ratings,N/A,3
Fred Wudl,Chemistry,2.7,5 ratings,N/A,4.2
Daniel Roa,Chemistry,2.3,3 ratings,34%,4
Irene Chen,Chemistry,2.7,3 ratings,67%,3.3
Rebecca Durr,Chemistry,4.5,2 ratings,100%,3.5
Nate Hartmann,Chemistry,5.0,1 ratings,100%,3
Meghan Nichol,Chemistry,0.0,0 ratings,N/A,0
Thomas Hooker,Chemistry,1.9,188 ratings,N/A,2.7
Kalju Kahn,Chemistry,3.1,102 ratings,34%,4.6
Mercy Anyika,Chemistry,3.2,68 ratings,59%,4
Thuc-Quyen Nguyen,Chemistry,3.9,31 ratings,100%,3.1
Herb Waite,Chemistry,3.5,18 ratings,56%,4.7
John Perona,Chemistry,2.4,16 ratings,N/A,3.8
Armen Zakarian,Chemistry,4.3,16 ratings,92%,2.8
Horia Metiu,Chemistry,3.0,10 ratings,56%,3.7
Jerry Larue,Chemistry,4.7,3 ratings,N/A,3.7
Peter Ford,Chemistry,2.0,2 ratings,100%,4.5
Donald Dunn,Chemistry,2.5,2 ratings,N/A,5
Timothy Carroll,Chemistry,5.0,1 ratings,100%,3
Mercy Anika,Chemistry,0.0,0 ratings,N/A,0
Justin Russak,Chemistry,3.0,76 ratings,N/A,3.3
Duane Sears,Chemistry,2.7,74 ratings,50%,4.4
Lior Sepunaru,Chemistry,4.4,62 ratings,84%,4
Joan Shea,Chemistry,3.6,35 ratings,80%,3.2
Mike Bowers,Chemistry,1.6,32 ratings,17%,4.4
Gabriel Menard,Chemistry,2.6,26 ratings,35%,3.9
Javier Read de Alaniz,Chemistry,4.6,23 ratings,89%,3.9
Martin Moskovits,Chemistry,2.9,15 ratings,43%,2.7
Dan Little,Chemistry,4.3,12 ratings,100%,2.4
Alison Butler,Chemistry,3.1,9 ratings,N/A,4.1
Nicholas Isley,Chemistry,2.9,9 ratings,N/A,4.2
David Lum,Chemistry,3.0,4 ratings,N/A,3.8
Sarah Schoonraad,Chemistry,5.0,4 ratings,N/A,1.5
Petra Van Coppen,Chemistry,5.0,3 ratings,N/A,2.7
Julia Ortony,Chemistry,4.0,2 ratings,N/A,2.5
Meredith Roberts,Chemistry,5.0,2 ratings,N/A,2
Dean Morales,Chemistry,5.0,2 ratings,100%,1.5
Guillermo Bazan,Chemistry,4.0,2 ratings,100%,3.5
Tarnuma Tabassum,Chemistry,5.0,1 ratings,N/A,1
Ava Greenwood,Chemistry,0.0,0 ratings,N/A,0
